
Seed: 1702081805

Informe o cenário desejado (1, 2, 3, ou 4): 
Cenário 1 (60%):
-> Taxa de chegada de pessoas (s): 66.4894
-> Tempo medio de servico (s): 120
-> Tempo a ser simulado (s): 864.000
Nova Conexão: 3.228673
Nova Conexão: 3.230212
Nova Conexão: 3.299982
Nova Conexão: 3.306355
Nova Conexão: 3.308465
Nova Conexão: 3.309234
Nova Conexão: 3.340056
Nova Conexão: 3.367309
Nova Conexão: 3.375791
Nova Conexão: 3.379342
Nova Conexão: 3.381624
Nova Conexão: 3.471445
Nova Conexão: 3.502070
Nova Conexão: 3.502287
Nova Conexão: 3.532697
Nova Conexão: 3.535742
Nova Conexão: 3.543423
Nova Conexão: 3.562991
Nova Conexão: 3.565337
Nova Conexão: 3.573891
Nova Conexão: 3.582838
Nova Conexão: 3.618151
Nova Conexão: 3.618734
Nova Conexão: 3.626778
Nova Conexão: 3.639334
Nova Conexão: 3.687424
Nova Conexão: 3.708903
Nova Conexão: 3.713741
Nova Conexão: 3.724796
Nova Conexão: 3.738242
Nova Conexão: 3.743584
Nova Conexão: 3.747691
Nova Conexão: 3.748540
Nova Conexão: 3.749943
Nova Conexão: 3.750556
Nova Conexão: 3.760238
Nova Conexão: 3.760334
Nova Conexão: 3.785144
Nova Conexão: 3.787070
Nova Conexão: 3.797906
Nova Conexão: 3.826110
Nova Conexão: 3.833621
Nova Conexão: 3.842055
Nova Conexão: 3.846116
Nova Conexão: 3.893637
Nova Conexão: 3.899836
Nova Conexão: 3.913692
Nova Conexão: 3.960449
Nova Conexão: 3.972243
Nova Conexão: 4.001411
Nova Conexão: 4.014009
Nova Conexão: 4.015128
Nova Conexão: 4.033744
Nova Conexão: 4.048220
Nova Conexão: 4.049834
Nova Conexão: 4.060761
Nova Conexão: 4.074701
Nova Conexão: 4.086890
Nova Conexão: 4.099854
Nova Conexão: 4.161257
Nova Conexão: 4.175797
Nova Conexão: 4.199394
Nova Conexão: 4.233688
Nova Conexão: 4.265393
Nova Conexão: 4.288974
Nova Conexão: 4.289350
Nova Conexão: 4.290370
Nova Conexão: 4.330897
Nova Conexão: 4.387017
Nova Conexão: 4.401014
Nova Conexão: 4.418249
Nova Conexão: 4.418648
Nova Conexão: 4.419132
Nova Conexão: 4.424925
Nova Conexão: 4.431960
Nova Conexão: 4.434308
Nova Conexão: 4.449010
Nova Conexão: 4.452650
Nova Conexão: 4.469947
Nova Conexão: 4.519427
Nova Conexão: 4.545916
Nova Conexão: 4.572896
Nova Conexão: 4.574213
Nova Conexão: 4.590856
Nova Conexão: 4.596582
Nova Conexão: 4.598809
Nova Conexão: 4.606421
Nova Conexão: 4.611465
Nova Conexão: 4.632042
Nova Conexão: 4.632627
Nova Conexão: 4.668421
Nova Conexão: 4.670211
Nova Conexão: 4.672117
Nova Conexão: 4.672932
Nova Conexão: 4.681140
Nova Conexão: 4.686025
Nova Conexão: 4.686068
Nova Conexão: 4.688381
Nova Conexão: 4.719910
Nova Conexão: 4.722295
Nova Conexão: 4.723662
Nova Conexão: 4.726875
Nova Conexão: 4.735816
Nova Conexão: 4.772519
Nova Conexão: 4.773805
Nova Conexão: 4.779441
Nova Conexão: 4.781601
Nova Conexão: 4.792658
Nova Conexão: 4.813627
Nova Conexão: 4.814481
Nova Conexão: 4.827845
Nova Conexão: 4.836073
Nova Conexão: 4.844886
Nova Conexão: 4.861946
Nova Conexão: 4.869034
Nova Conexão: 4.879893
Nova Conexão: 4.881634
Nova Conexão: 4.925734
Nova Conexão: 4.928792
Nova Conexão: 4.949702
Nova Conexão: 4.974727
Nova Conexão: 4.979160
Nova Conexão: 4.989239
Nova Conexão: 4.992541
Nova Conexão: 4.999000
Nova Conexão: 5.007011
Nova Conexão: 5.020227
Nova Conexão: 5.031568
Nova Conexão: 5.039207
Nova Conexão: 5.045654
Nova Conexão: 5.046157
Nova Conexão: 5.050220
Nova Conexão: 5.062894
Nova Conexão: 5.080983
Nova Conexão: 5.081644
Nova Conexão: 5.081937
Nova Conexão: 5.092795
Nova Conexão: 5.116849
Nova Conexão: 5.117627
Nova Conexão: 5.121812
Nova Conexão: 5.126085
Nova Conexão: 5.132277
Nova Conexão: 5.142410
Nova Conexão: 5.171986
Nova Conexão: 5.173157
Nova Conexão: 5.189494
Nova Conexão: 5.190610
Nova Conexão: 5.194937
Nova Conexão: 5.196236
Nova Conexão: 5.203778
Nova Conexão: 5.211466
Nova Conexão: 5.269858
Nova Conexão: 5.287384
Nova Conexão: 5.324811
Nova Conexão: 5.347076
Nova Conexão: 5.349312
Nova Conexão: 5.374750
Nova Conexão: 5.403452
Nova Conexão: 5.409762
Nova Conexão: 5.413013
Nova Conexão: 5.451076
Nova Conexão: 5.462286
Nova Conexão: 5.483511
Nova Conexão: 5.498582
Nova Conexão: 5.518002
Nova Conexão: 5.568261
Nova Conexão: 5.577004
Nova Conexão: 5.577614
Nova Conexão: 5.596835
Nova Conexão: 5.627239
Nova Conexão: 5.629103
Nova Conexão: 5.639942
Nova Conexão: 5.649814
Nova Conexão: 5.653907
Nova Conexão: 5.655112
Nova Conexão: 5.659270
Nova Conexão: 5.664410
Nova Conexão: 5.732665
Nova Conexão: 5.744423
Nova Conexão: 5.776893
Nova Conexão: 5.792656
Nova Conexão: 5.800159
Nova Conexão: 5.823862
Nova Conexão: 5.827583
Nova Conexão: 5.834997
